How old are you?,Which of the following best describes your gender identity?,Do you consider yourself a member of the LGBT+ community?,On what continent do you reside?,"Using only its 3- to 4-letter abbreviation, what timezone are you in?",What is your highest level of education?,"Are you currently pursuing an education, either part- or full-time?",Which of the following best describes your current employment status?,"In an average week, on how many days do you watch anime, read manga, doujin or light novels, or play visual novels?",Have you ever suffered from social anxiety?,Which of the following do you consume? Check all that apply. ,How do you typically access anime?,"Have you ever held a paid subscription to an anime-focused streaming service such as VRV, Crunchyroll, or Funimation?","When you watch anime, do you prefer subs or dubs?","When choosing an anime, manga, LN, or VN, how important do you weigh visual qualities such as style, character design, and backgrounds?","When choosing an anime, manga, or LN, how important do you weigh storytelling qualities such as dialogue, character development, and conflict?","When choosing an anime, manga, or LN, how important do you weigh character relatability?",What genre do you most enjoy the most?,What genre do you most enjoy second-most?,Have you ever considered subscribing to a VTuber?,"Have you ever watched/read an anime, manga, doujin, LN, or VN, and felt the characters or story were cheapened through over-sexualization?","In the last month, have you consumed an H [adult] anime, manga, doujin, light, or a visual novel?","Do you think anime, manga, or the like could benefit from the better representation of certain social groups?","Were there more stories available for older, more mature audiences, would you consider reading or watching them?"
34 - 41,Man,No,North America,PST,Master's,Yes,Unemployed,7,No,Anime,Other sources,No,Subs,7,8,0,"Comedy, including Slice-of-Life",Tragedy / Psychological,No,Maybe,No,Maybe,Yes
18 - 25,Man,No,Europe,UTC+1,High School Diploma / GED,Yes,Unemployed,7,Yes,Anime;Manga;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,5,8,8,Romance / Drama,Tragedy / Psychological,No,Yes,No,Yes,Yes
17 or under,Man,No,Asia,GMT+8,Some high school,Yes,Full-time,7,No,Anime;Light Novels,Other sources,No,Subs,5,10,9,Tragedy / Psychological,Romance / Drama,No,Yes,No,Yes,Yes
26 - 33,Man,No,North America,EST,Bachelor's,No,Full-time,3,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,6,"Sci-Fi, including Military and Mecha",Romance / Drama,No,Yes,Yes,Yes,Yes
18 - 25,Woman,No,North America,CST,High School Diploma / GED,Yes,Part-time worker,2,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,7,9,6,"Comedy, including Slice-of-Life",Action,No,Yes,Yes,Yes,Yes
50 - 57,Man,No,North America,UTC-6,Bachelor's,No,Full-time,7,Yes,Anime;Manga;Light Novels,Other sources,No,Subs,6,8,2,Fantasy / Issekai,"Comedy, including Slice-of-Life",No,Yes,Yes,No,No
18 - 25,Woman,No,Australia,AEDT,Bachelor's,Yes,Unemployed,7,No,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,10,10,"Comedy, including Slice-of-Life","Sci-Fi, including Military and Mecha",No,Yes,No,Yes,Yes
18 - 25,Man,No,North America,EST,High School Diploma / GED,No,Full-time,7,Yes,Anime;Manga;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,10,0,Tragedy / Psychological,Romance / Drama,No,No,Yes,No,Yes
18 - 25,Man,No,North America,CST,Associate's,Yes,Full-time,3,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,8,5,Action,Romance / Drama,Yes,Yes,Yes,Maybe,Yes
18 - 25,Woman,Yes,North America,Est,Associate's,No,Part-time worker,4,Yes,Anime;Manga,Other sources,Yes,Subs,6,9,3,"Sci-Fi, including Military and Mecha",Action,No,No,Yes,Yes,Yes
18 - 25,Man,No,North America,UTC,High School Diploma / GED,Yes,Part-time worker,7,No,Anime;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,10,5,Tragedy / Psychological,Action,No,Yes,No,Yes,Yes
26 - 33,Woman,Yes,North America,PST,Bachelor's,No,Full-time,3,Yes,Anime;Manga;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,8,7,Tragedy / Psychological,Supernatural / Magic,No,Maybe,No,Maybe,Yes
18 - 25,Woman,Yes,North America,CST,High School Diploma / GED,Yes,Part-time worker,5,Yes,Anime;Manga;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,2,9,1,Tragedy / Psychological,Romance / Drama,No,Yes,No,Maybe,Yes
26 - 33,Man,Yes,North America,cst,High School Diploma / GED,Yes,Unemployed,2,,,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,10,7,"Comedy, including Slice-of-Life",Action,Yes,Maybe,Yes,Yes,Yes
18 - 25,Man,No,Asia,gmt+8,High School Diploma / GED,No,Full-time,7,Yes,Anime;Manga;Visual Novels,Other sources,No,Subs,7,7,9,Action,Supernatural / Magic,No,Maybe,No,Yes,Yes
18 - 25,Man,Yes,Europe,CET,Bachelor's,Yes,Unemployed,6,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,3,9,7,Romance / Drama,"Comedy, including Slice-of-Life",No,Yes,No,Yes,Yes
18 - 25,Man,No,Australia,NZDT,High School Diploma / GED,Yes,Unemployed,6,Yes,Anime;Manga;Doujinshi;Visual Novels,"Personal copies, such as DVDs, Blu-Rays, or season purchases",No,Subs,8,7,1,"Comedy, including Slice-of-Life",Romance / Drama,Yes,No,Yes,No,No
18 - 25,Man,No,North America,IDK,High School Diploma / GED,Yes,Unemployed,1,Yes,Anime;Manga;Light Novels,"Personal copies, such as DVDs, Blu-Rays, or season purchases",No,Subs,10,10,2,"Comedy, including Slice-of-Life",Tragedy / Psychological,No,Yes,Yes,No,No
18 - 25,Woman,No,Asia,IST,Bachelor's,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,8,10,9,Action,Romance / Drama,No,Maybe,Yes,Yes,Yes
18 - 25,Man,No,North America,EST,Bachelor's,No,Full-time,6,No,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,9,10,4,"Comedy, including Slice-of-Life",Action,No,Yes,No,Yes,Yes
26 - 33,Man,No,Australia,ACST,Bachelor's,Yes,,7,Yes,Anime;Manga;Doujinshi;Light Novels,Other sources,Yes,Subs,5,8,5,Supernatural / Magic,Fantasy / Issekai,No,No,Yes,No,No
18 - 25,Man,No,North America,EST,Associate's,Yes,Unemployed,2,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,6,Action,"Sci-Fi, including Military and Mecha",Yes,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,EST,Associate's,Yes,Unemployed,2,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,6,Action,"Sci-Fi, including Military and Mecha",Yes,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,EST,Associate's,Yes,Unemployed,2,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,6,Action,"Sci-Fi, including Military and Mecha",Yes,Yes,Yes,Yes,Yes
42 - 49,Woman,No,North America,EST,High School Diploma / GED,No,Full-time,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,9,9,1,Action,Tragedy / Psychological,No,No,Yes,No,No
18 - 25,Man,No,Europe,MEZ,Some high school,Yes,Unemployed,4,No,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,6,Action,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Maybe,Yes
26 - 33,Man,No,North America,EST,Bachelor's,No,Full-time,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,8,8,7,"Comedy, including Slice-of-Life",Romance / Drama,No,Maybe,Yes,Maybe,Yes
26 - 33,Woman,No,North America,Est,Bachelor's,No,Full-time,5,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,9,10,0,"Sci-Fi, including Military and Mecha",Fantasy / Issekai,Yes,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,Est,Master's,Yes,Part-time worker,5,Yes,Anime;Manga,Other sources,No,Subs,9,8,1,Romance / Drama,Action,No,No,Yes,No,Yes
18 - 25,Woman,Yes,North America,EST,High School Diploma / GED,Yes,Part-time worker,2,Yes,Anime;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,4,8,4,Romance / Drama,"Comedy, including Slice-of-Life",No,Yes,No,Maybe,Yes
18 - 25,Man,No,North America,EST,Some high school,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,7,9,8,Romance / Drama,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,PST,Associate's,Yes,Unemployed,6,Yes,Anime;Doujinshi,Other sources,Yes,Dubs,9,8,5,Action,Romance / Drama,No,No,Yes,Maybe,Yes
18 - 25,Otherwise Nonbinary,Yes,North America,CST,Associate's,Yes,Unemployed,4,Yes,Anime;Manga,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",Yes,Subs,8,8,3,"Comedy, including Slice-of-Life",Tragedy / Psychological,Yes,Yes,Yes,Yes,Yes
17 or under,Man,No,North America,CST,Some high school,Yes,Unemployed,7,No,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,8,10,8,Tragedy / Psychological,"Sci-Fi, including Military and Mecha",Yes,Yes,Yes,Yes,Yes
26 - 33,Man,No,North America,est ,High School Diploma / GED,No,Unemployed,5,Yes,Anime;Manga;Light Novels;Visual Novels,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",Yes,Dubs,0,10,0,Tragedy / Psychological,"Sci-Fi, including Military and Mecha",No,No,No,Yes,Yes
18 - 25,Man,No,Asia,IST,Bachelor's,Yes,Unemployed,7,No,Anime;Doujinshi,Other sources,No,Subs,8,8,3,"Comedy, including Slice-of-Life",Fantasy / Issekai,No,Maybe,Yes,Maybe,Yes
17 or under,Man,Yes,North America,est,Some high school,Yes,Unemployed,6,No,Anime,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,8,8,2,Tragedy / Psychological,"Comedy, including Slice-of-Life",Yes,Yes,No,Yes,Yes
18 - 25,Man,No,North America,Ctl ,Associate's,No,Full-time,6,Yes,Anime,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Dubs,7,10,4,Supernatural / Magic,Action,No,Yes,No,Yes,Yes
34 - 41,Man,No,North America,EDT,Bachelor's,No,Full-time,7,Yes,Anime;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,6,8,5,"Sci-Fi, including Military and Mecha","Comedy, including Slice-of-Life",No,Maybe,No,Maybe,Yes
18 - 25,Man,Yes,North America,Est,Bachelor's,Yes,Part-time worker,3,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,5,Tragedy / Psychological,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,Europe,CET,High School Diploma / GED,No,Unemployed,5,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,5,8,4,Fantasy / Issekai,Supernatural / Magic,Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,North America,EST,Bachelor's,Yes,Part-time worker,7,No,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,10,4,Action,Romance / Drama,Yes,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,CST,High School Diploma / GED,No,Full-time,6,Yes,Anime;Doujinshi,Other sources,No,Subs,7,10,3,Supernatural / Magic,Tragedy / Psychological,No,Yes,Yes,Maybe,Yes
34 - 41,Otherwise Nonbinary,No,North America,EST,High School Diploma / GED,No,Unemployed,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,0,0,5,Tragedy / Psychological,Supernatural / Magic,No,No,Yes,No,No
18 - 25,Man,No,North America,PSR,Bachelor's,Yes,Unemployed,2,Yes,Anime;Manga;Doujinshi;Light Novels,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",Yes,Subs,8,10,8,"Comedy, including Slice-of-Life",Romance / Drama,No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,South America,UTC-6,Bachelor's,No,Full-time,4,No,Anime;Manga;Light Novels;Visual Novels,Other sources,Yes,Subs,8,10,9,Tragedy / Psychological,"Sci-Fi, including Military and Mecha",No,Maybe,Yes,No,Yes
18 - 25,Man,No,Europe,GMT,Associate's,Yes,Unemployed,3,No,Anime,Other sources,No,Subs,6,8,0,Action,Supernatural / Magic,No,Yes,No,Yes,Yes
26 - 33,Woman,Yes,North America,EST,Bachelor's,No,Full-time,1,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,5,10,3,Supernatural / Magic,Romance / Drama,Yes,Yes,No,Yes,Yes
26 - 33,Man,,Asia,GMT+5:30,Master's,Yes,Full-time,3,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,9,10,6,Action,"Sci-Fi, including Military and Mecha",No,Yes,No,Yes,Yes
18 - 25,Man,No,Europe,WET,Bachelor's,Yes,Unemployed,4,Yes,Anime;Manga;Doujinshi;Light Novels,Other sources,No,Subs,7,8,5,Action,Fantasy / Issekai,Yes,Yes,Yes,Yes,Yes
34 - 41,Man,No,North America,PST,Bachelor's,No,Full-time,4,No,Anime;Manga;Doujinshi;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,2,8,3,"Sci-Fi, including Military and Mecha",Action,No,No,Yes,Maybe,Yes
18 - 25,Man,No,North America,EST,Associate's,Yes,Unemployed,3,Yes,Anime,Other sources,Yes,Subs,7,9,7,Tragedy / Psychological,Romance / Drama,Yes,Yes,No,No,Yes
18 - 25,Man,No,North America,EST,High School Diploma / GED,No,Part-time worker,7,Yes,Anime;Manga;Doujinshi,Other sources,Yes,Subs,6,10,0,Action,"Comedy, including Slice-of-Life",No,No,Yes,Maybe,Yes
18 - 25,Man,No,North America,EST,Some high school,Yes,Part-time worker,6,No,Anime;Manga,Other sources,No,Subs,8,10,6,"Comedy, including Slice-of-Life",Romance / Drama,No,Maybe,Yes,Yes,Yes
26 - 33,Man,No,Australia,NZT,Bachelor's,No,Unemployed,2,Yes,Anime,Other sources,Yes,Subs,6,8,6,Action,Romance / Drama,Yes,Yes,Yes,Maybe,Yes
18 - 25,GNC or Genderqueer,Yes,Australia,,Some high school,No,Unemployed,7,Yes,Anime;Manga,Other sources,Yes,Subs,,,,,,Yes,Yes,Yes,Yes,Yes
26 - 33,Man,No,North America,EST,Bachelor's,No,Full-time,7,No,Anime;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,8,7,3,Supernatural / Magic,Action,No,Yes,Yes,Maybe,Yes
18 - 25,Man,Yes,North America,EDT,Some high school,No,Part-time worker,6,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,9,4,Action,Fantasy / Issekai,No,Maybe,Yes,Yes,Yes
18 - 25,Man,No,North America,EST,Bachelor's,No,Unemployed,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,8,10,1,Romance / Drama,Tragedy / Psychological,Yes,Yes,Yes,Maybe,Yes
18 - 25,Woman,No,North America,Est,Master's,No,Full-time,7,No,Anime;Manga;Doujinshi,Other sources,No,Subs,8,8,5,Fantasy / Issekai,"Comedy, including Slice-of-Life",No,Yes,No,Maybe,Yes
17 or under,Man,Yes,North America,EST,Some high school,Yes,Unemployed,5,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Dubs,8,9,5,Tragedy / Psychological,Action,No,Yes,Yes,Yes,No
18 - 25,Man,No,North America,EST,Bachelor's,Yes,Full-time,6,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,7,9,4,"Comedy, including Slice-of-Life",Action,No,Yes,No,Yes,Yes
26 - 33,Man,No,South America,BRT,Bachelor's,No,Full-time,7,Yes,Anime;Light Novels;Visual Novels,Other sources,Yes,Subs,7,6,3,Romance / Drama,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Yes,Yes
18 - 25,Woman,No,North America,cst,Bachelor's,No,Full-time,3,No,Anime;Manga,Other sources,No,Subs,5,9,3,Tragedy / Psychological,Romance / Drama,No,Yes,No,Maybe,Yes
17 or under,Man,No,North America,MST,Some high school,Yes,Unemployed,6,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,Yes,Subs,8,9,6,Fantasy / Issekai,Action,No,Yes,Yes,No,Yes
26 - 33,Woman,Yes,North America,Est,Master's,No,Full-time,3,Yes,Anime;Manga;Doujinshi;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,10,10,7,Action,Tragedy / Psychological,Yes,Yes,No,Yes,Yes
34 - 41,Man,No,North America,CST,High School Diploma / GED,No,Full-time,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,7,5,Fantasy / Issekai,"Comedy, including Slice-of-Life",No,No,Yes,No,No
26 - 33,Woman,No,North America,EST,Bachelor's,No,Full-time,6,Yes,Anime;Manga;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,8,9,6,"Comedy, including Slice-of-Life",Romance / Drama,No,Yes,No,Maybe,Yes
42 - 49,Man,No,North America,cst,High School Diploma / GED,No,Full-time,7,No,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,9,7,"Comedy, including Slice-of-Life",Fantasy / Issekai,No,Maybe,Yes,No,Yes
17 or under,Man,No,Asia,,Some high school,Yes,Unemployed,6,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Dubs,5,9,8,Romance / Drama,Action,No,Yes,Yes,Yes,Yes
26 - 33,Man,No,North America,PST,Bachelor's,No,Full-time,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,8,5,"Sci-Fi, including Military and Mecha","Comedy, including Slice-of-Life",Yes,Yes,Yes,Maybe,Yes
17 or under,Woman,Yes,North America,GMT-6,Some high school,Yes,Unemployed,6,Yes,Anime;Manga;Doujinshi;Light Novels,Other sources,No,Subs,5,8,4,Tragedy / Psychological,"Comedy, including Slice-of-Life",Yes,Yes,No,Yes,Yes
18 - 25,Man,No,North America,CST,Bachelor's,No,Full-time,7,No,Anime;Manga;Visual Novels,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",Yes,Subs,5,10,5,"Sci-Fi, including Military and Mecha","Comedy, including Slice-of-Life",No,No,No,Yes,Yes
18 - 25,Man,Yes,North America,,Associate's,Yes,Part-time worker,7,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,,,,,,,,,,,
26 - 33,Man,No,Europe,Gmt,Bachelor's,No,Full-time,7,Yes,Anime;Manga;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,8,Romance / Drama,"Comedy, including Slice-of-Life",No,Maybe,No,Maybe,Yes
26 - 33,Man,No,North America,CST,High School Diploma / GED,No,Full-time,3,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,9,10,7,Action,Tragedy / Psychological,No,Yes,No,Maybe,Yes
18 - 25,Man,No,North America,MST,High School Diploma / GED,Yes,Unemployed,4,No,Anime;Manga,Other sources,No,Subs,6,10,2,Tragedy / Psychological,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,North America,EST,Bachelor's,Yes,Part-time worker,4,No,Anime;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,8,9,7,Action,Tragedy / Psychological,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,Est,High School Diploma / GED,Yes,Part-time worker,7,No,Anime;Manga;Light Novels;Visual Novels,Other sources,No,Subs,7,8,4,Romance / Drama,Tragedy / Psychological,Yes,Yes,No,Maybe,Yes
18 - 25,Man,No,South America,,Bachelor's,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi,Other sources,No,Subs,8,9,10,Fantasy / Issekai,Action,No,Maybe,Yes,Yes,Yes
18 - 25,Man,No,North America,PST,Bachelor's,Yes,Unemployed,4,No,Anime,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,6,9,7,Tragedy / Psychological,Romance / Drama,No,Yes,No,Yes,Yes
18 - 25,Man,No,North America,Est,High School Diploma / GED,Yes,Unemployed,6,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,Yes,Subs,7,9,8,Action,Romance / Drama,No,Yes,Yes,No,Yes
26 - 33,Woman,No,Asia,CST,Master's,No,Full-time,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,8,5,Supernatural / Magic,Fantasy / Issekai,Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,North America,Est ,Associate's,Yes,Part-time worker,7,No,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,5,5,5,Fantasy / Issekai,Romance / Drama,No,Maybe,Yes,Maybe,Yes
18 - 25,Man,No,North America,EST,Associate's,Yes,Part-time worker,7,Yes,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,7,8,"Comedy, including Slice-of-Life",Action,No,Maybe,Yes,Maybe,Yes
18 - 25,Man,Yes,North America,CST,Bachelor's,Yes,Full-time,3,No,Anime,Other sources,No,Subs,7,10,2,Romance / Drama,Action,No,Yes,No,Maybe,Yes
18 - 25,Man,No,North America,GMT,Trade / Vocational School,No,Full-time,4,Yes,Anime;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,5,7,3,Fantasy / Issekai,Romance / Drama,Yes,Maybe,Yes,No,Yes
18 - 25,Woman,No,North America,EST,Bachelor's,Yes,Part-time worker,7,Yes,Anime,Other sources,No,Subs,7,9,7,Action,"Comedy, including Slice-of-Life",No,Yes,Yes,Yes,Yes
18 - 25,Man,Yes,Asia,GMT,Bachelor's,Yes,Unemployed,4,Yes,Anime;Manga,Other sources,No,Subs,6,6,7,Tragedy / Psychological,Action,No,Maybe,Yes,Maybe,Yes
18 - 25,Man,No,North America,,High School Diploma / GED,Yes,Unemployed,3,Yes,Anime,Other sources,Yes,Subs,6,10,4,Tragedy / Psychological,Romance / Drama,No,Yes,No,Yes,Yes
17 or under,Man,No,North America,Cst,Some high school,Yes,Unemployed,5,No,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,6,8,4,Romance / Drama,"Comedy, including Slice-of-Life",No,Maybe,Yes,Maybe,No
